"","DATETIME_UTC","DATETIME_MST","WTempC","ConduS","SpConduS","CHLrfu","CHLugL","BGAPCrfu","BGAPCugL","odomgL","odosat","WTemp1m","WTemp2m","WTemp3m","WTemp4m","WTemp5.5m","WTemp7m","odomgL_7m","odosat_7m","PAR7m"
"1",2025-06-24 20:50:00,2025-06-24 13:50:00,13.23,50.66,65.35,0.9,2.76,0.02,-0.09,11.86,113.2,13.25195,13.1333,11.5082,7.688928,5.536951,4.957635,0.19,1.495504,0.3
"2",2025-06-24 21:00:00,2025-06-24 14:00:00,13.22,50.64,65.35,1.01,3.15,0.09,-0.03,11.88,113.3,13.24511,13.16482,11.65273,7.709314,5.413049,4.946161,0.228,1.787681,0.2
"3",2025-06-24 21:10:00,2025-06-24 14:10:00,13.2,50.62,65.35,1.18,3.75,0.05,-0.07,11.9,113.4,13.22964,13.14883,12.0209,7.843011,5.559015,4.981042,0.139,1.088199,0.4
"4",2025-06-24 21:20:00,2025-06-24 14:20:00,13.18,50.59,65.35,1.04,3.26,0,-0.12,11.91,113.5,13.22195,13.16531,11.83438,7.800928,5.447717,4.974878,0.132,1.032597,-0.2
"5",2025-06-24 21:30:00,2025-06-24 14:30:00,13.16,50.54,65.32,1.07,3.34,0.02,-0.1,11.9,113.3,13.19308,13.16662,11.85067,8.008448,5.480554,4.960931,0.098,0.766229,0.1
"6",2025-06-24 21:40:00,2025-06-24 14:40:00,13.14,50.49,65.28,1.08,3.4,0.03,-0.08,11.89,113.2,13.18228,13.14889,11.8735,7.811334,5.444421,4.978052,0.092,0.719503,-0.1
"7",2025-06-24 21:50:00,2025-06-24 14:50:00,13.13,50.47,65.27,0.99,3.07,0.06,-0.06,11.87,113,13.17266,13.15319,12.0967,7.729974,5.478021,4.968683,0.117,0.914547,0.2
"8",2025-06-24 22:00:00,2025-06-24 15:00:00,13.14,50.49,65.28,0.81,2.43,0.01,-0.1,11.88,113.1,13.19537,13.0978,12.28732,7.673059,5.527429,4.974054,0.11,0.85983,0.8
"9",2025-06-24 22:10:00,2025-06-24 15:10:00,13.14,50.48,65.26,1.51,4.9,0.01,-0.1,11.87,113,13.19689,13.09799,12.31848,7.562372,5.295892,4.967645,0.1,0.782068,0.1
"10",2025-06-24 22:20:00,2025-06-24 15:20:00,13.15,50.52,65.29,0.91,2.81,0.03,-0.09,11.87,113,13.19805,13.13717,12.24398,7.868005,5.366418,4.974908,0.129,1.008347,0.6
"11",2025-06-24 22:30:00,2025-06-24 15:30:00,13.18,50.54,65.29,0.88,2.68,0,-0.11,11.87,113.1,13.21777,13.15118,12.2756,7.910028,5.44314,4.997003,0.098,0.766427,0.9
"12",2025-06-24 22:40:00,2025-06-24 15:40:00,13.19,50.54,65.26,0.81,2.45,0.06,-0.06,11.85,112.9,13.24932,13.20028,12.32144,7.731409,5.558771,5.030969,0.094,0.735524,0.9
"13",2025-06-24 22:50:00,2025-06-24 15:50:00,13.22,50.59,65.28,1.02,3.18,0.1,-0.02,11.84,112.9,13.28436,13.12246,12.25421,7.794977,5.573236,5.014368,0.11,0.85983,1.1
"14",2025-06-24 23:20:00,2025-06-24 16:20:00,13.28,50.66,65.28,0.8,2.4,0.03,-0.09,11.83,113,13.2998,13.04019,12.14245,8.101679,5.676019,4.977746,0.121,0.945569,1.5
"15",2025-06-24 23:30:00,2025-06-24 16:30:00,13.29,50.68,65.29,0.93,2.87,-0.07,-0.18,11.83,113,13.29672,13.01406,12.25295,7.984613,5.578454,4.931055,0.119,0.929699,0.1
"16",2025-06-24 23:40:00,2025-06-24 16:40:00,13.27,50.64,65.26,1.05,3.3,0.09,-0.03,11.84,113.1,13.26919,13.02398,12.29336,7.890192,5.590784,4.917657,0.131,1.022656,0.2
"17",2025-06-24 23:50:00,2025-06-24 16:50:00,13.25,50.58,65.22,1.12,3.53,0.01,-0.1,11.83,112.9,13.25408,13.06024,12.3287,7.833978,5.55462,4.911066,0.112,0.874785,0.5
"18",2025-06-25,2025-06-24 17:00:00,13.27,50.63,65.26,1.14,3.61,0.08,-0.04,11.83,113,13.2763,13.05432,12.34112,7.806665,5.557947,4.909387,0.125,0.975817,0
"19",2025-06-25 00:10:00,2025-06-24 17:10:00,13.27,50.61,65.23,1.22,3.88,-0.01,-0.12,11.82,112.9,13.30538,13.08862,12.33764,7.80816,5.49621,4.920221,0.17,1.326389,0.3
"20",2025-06-25 00:20:00,2025-06-24 17:20:00,13.28,50.62,65.23,1.17,3.7,0.07,-0.04,11.82,112.8,13.29821,13.09774,12.40084,7.779047,5.425012,4.929071,0.134,1.046617,-0.2
"21",2025-06-25 00:30:00,2025-06-24 17:30:00,13.27,50.58,65.19,1.17,3.7,0.05,-0.07,11.8,112.7,13.28579,13.1144,12.5346,7.769617,5.50509,4.92489,0.092,0.718573,0.4
"22",2025-06-25 01:00:00,2025-06-24 18:00:00,13.21,50.46,65.12,1.09,3.41,0.01,-0.1,11.8,112.6,13.25765,13.17245,12.73821,7.754632,5.461786,4.924249,0.088,0.687331,0.5
"23",2025-06-25 01:10:00,2025-06-24 18:10:00,13.19,50.53,65.26,1.18,3.73,0,-0.12,11.89,113.4,13.23004,13.15057,12.77404,7.754846,5.620782,4.956659,0.087,0.679696,0.2
"24",2025-06-25 01:20:00,2025-06-24 18:20:00,13.17,50.41,65.13,1.27,4.05,0.06,-0.06,11.83,112.7,13.21978,13.19567,12.75497,7.788904,5.485712,4.937433,0.091,0.71113,0.1
"25",2025-06-25 01:30:00,2025-06-24 18:30:00,13.17,50.42,65.15,1.18,3.75,0,-0.11,11.88,113.2,13.21258,13.1784,12.71624,7.910791,5.510187,4.942865,0.105,0.820747,0.3
