"sample_number","site_id","lake","site_type","sample_date","sample_type","method","result","sample_status","status","total_mc","toxin_richness","rr","yr","lr","la","dm_lr","ly","nod","lf","wr","atx","hatx","cyl","notes"
44,"SPATT_BLANK","blank","blank",2025-06-25,"Blank","SPATT",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"SPATT_BLANK","blank","blank",2025-06-25,"Blank","SPATT",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"BKS_BL_SH_01","brooks","shore",2025-06-25,"Regular","SPATT",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"BKS_BL_SH_01","brooks","shore",2025-06-24,"Regular","GRAB",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"BKS_BL_SH_02","brooks","shore",2025-06-25,"Regular","SPATT",FALSE,"not_analyzed","Lost",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"BKS_BL_SH_02","brooks","shore",2025-06-25,"Regular","GRAB",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"BKS_BL_SH_03","brooks","shore",2025-06-24,"Regular","SPATT",FALSE,"not_analyzed","Lost",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"BKS_BL_SH_03","brooks","shore",2025-06-25,"Regular","GRAB",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"BKS_BL_SH_04","brooks","shore",2025-06-24,"Regular","SPATT",FALSE,"not_analyzed","Lost",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"BKS_BL_SH_04","brooks","shore",2025-06-25,"Regular","GRAB",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"BKS_BL_SH_05","brooks","shore",2025-06-24,"Regular","SPATT",FALSE,"not_analyzed","Lost",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"BKS_BL_SH_05","brooks","shore",2025-06-25,"Regular","GRAB",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BKS_BL_SH_06","brooks","shore",2025-06-24,"Regular","SPATT",FALSE,"not_analyzed","Lost",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"BKS_BL_SH_06","brooks","shore",2025-06-24,"Regular","GRAB",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"BKS_BL_SH_07","brooks","shore",2025-06-24,"Regular","SPATT",FALSE,"not_analyzed","Lost",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"BKS_BL_SH_07","brooks","shore",2025-06-25,"Regular","GRAB",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"BKS_BL_BU_SS","brooks","buoy_surface",2025-06-25,"Regular","SPATT",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"BKS_BL_BU_SS","brooks","buoy_surface",2025-06-24,"Regular","GRAB",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"BKS_BL_BU_DD","brooks","buoy_depth",2025-06-25,"Regular","SPATT",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"BKS_BL_BU_DD","brooks","buoy_depth",2025-06-25,"Regular","GRAB",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BKS_BL_SH_01","brooks","shore",2025-07-21,"regular","SPATT",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
65,"BKS_BL_SH_02","brooks","shore",2025-07-21,"regular","SPATT",TRUE,"detected","Shipped",0,1,0,0,0,0,0,0,1.338958617,0,0,0,0,0,NA
