sample_number,site_id,date,lake,site_type,depth_category,method,toxin_class,detected
064,BKS_BL_SH_01,2025-07-21,brooks,shore,NA,spatt,anatoxin,FALSE
064,BKS_BL_SH_01,2025-07-21,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
064,BKS_BL_SH_01,2025-07-21,brooks,shore,NA,spatt,microcystin,FALSE
064,BKS_BL_SH_01,2025-07-21,brooks,shore,NA,spatt,nodularin,FALSE
065,BKS_BL_SH_02,2025-07-21,brooks,shore,NA,spatt,anatoxin,FALSE
065,BKS_BL_SH_02,2025-07-21,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
065,BKS_BL_SH_02,2025-07-21,brooks,shore,NA,spatt,microcystin,FALSE
065,BKS_BL_SH_02,2025-07-21,brooks,shore,NA,spatt,nodularin,FALSE
066,BKS_BL_SH_03,2025-07-21,brooks,shore,NA,spatt,anatoxin,FALSE
066,BKS_BL_SH_03,2025-07-21,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
066,BKS_BL_SH_03,2025-07-21,brooks,shore,NA,spatt,microcystin,FALSE
066,BKS_BL_SH_03,2025-07-21,brooks,shore,NA,spatt,nodularin,FALSE
067,BKS_BL_SH_04,2025-07-21,brooks,shore,NA,spatt,anatoxin,FALSE
067,BKS_BL_SH_04,2025-07-21,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
067,BKS_BL_SH_04,2025-07-21,brooks,shore,NA,spatt,microcystin,FALSE
067,BKS_BL_SH_04,2025-07-21,brooks,shore,NA,spatt,nodularin,FALSE
072,BKS_BL_SH_05,2025-07-23,brooks,shore,NA,spatt,anatoxin,FALSE
072,BKS_BL_SH_05,2025-07-23,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
072,BKS_BL_SH_05,2025-07-23,brooks,shore,NA,spatt,microcystin,FALSE
072,BKS_BL_SH_05,2025-07-23,brooks,shore,NA,spatt,nodularin,FALSE
073,BKS_BL_SH_06,2025-07-23,brooks,shore,NA,spatt,anatoxin,FALSE
073,BKS_BL_SH_06,2025-07-23,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
073,BKS_BL_SH_06,2025-07-23,brooks,shore,NA,spatt,microcystin,FALSE
073,BKS_BL_SH_06,2025-07-23,brooks,shore,NA,spatt,nodularin,FALSE
074,BKS_BL_SH_07,2025-07-23,brooks,shore,NA,spatt,anatoxin,FALSE
074,BKS_BL_SH_07,2025-07-23,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
074,BKS_BL_SH_07,2025-07-23,brooks,shore,NA,spatt,microcystin,FALSE
074,BKS_BL_SH_07,2025-07-23,brooks,shore,NA,spatt,nodularin,FALSE
079,BKS_BL_BU_SS,2025-07-23,brooks,buoy,surface,spatt,anatoxin,FALSE
079,BKS_BL_BU_SS,2025-07-23,brooks,buoy,surface,spatt,cylindrospermopsin,FALSE
079,BKS_BL_BU_SS,2025-07-23,brooks,buoy,surface,spatt,microcystin,TRUE
079,BKS_BL_BU_SS,2025-07-23,brooks,buoy,surface,spatt,nodularin,FALSE
088,BKS_BL_BU_DD,2025-07-23,brooks,buoy,bottom,spatt,anatoxin,FALSE
088,BKS_BL_BU_DD,2025-07-23,brooks,buoy,bottom,spatt,cylindrospermopsin,FALSE
088,BKS_BL_BU_DD,2025-07-23,brooks,buoy,bottom,spatt,microcystin,TRUE
088,BKS_BL_BU_DD,2025-07-23,brooks,buoy,bottom,spatt,nodularin,FALSE
090,BKS_UB_SH_09,2025-07-22,upper brooks,shore,NA,spatt,anatoxin,FALSE
090,BKS_UB_SH_09,2025-07-22,upper brooks,shore,NA,spatt,cylindrospermopsin,FALSE
090,BKS_UB_SH_09,2025-07-22,upper brooks,shore,NA,spatt,microcystin,TRUE
090,BKS_UB_SH_09,2025-07-22,upper brooks,shore,NA,spatt,nodularin,FALSE
091,BKS_UB_BU_SS,2025-07-22,upper brooks,buoy,surface,spatt,anatoxin,FALSE
091,BKS_UB_BU_SS,2025-07-22,upper brooks,buoy,surface,spatt,cylindrospermopsin,FALSE
091,BKS_UB_BU_SS,2025-07-22,upper brooks,buoy,surface,spatt,microcystin,FALSE
091,BKS_UB_BU_SS,2025-07-22,upper brooks,buoy,surface,spatt,nodularin,FALSE
095,BKS_UB_BU_DD,2025-07-22,upper brooks,buoy,bottom,spatt,anatoxin,FALSE
095,BKS_UB_BU_DD,2025-07-22,upper brooks,buoy,bottom,spatt,cylindrospermopsin,FALSE
095,BKS_UB_BU_DD,2025-07-22,upper brooks,buoy,bottom,spatt,microcystin,TRUE
095,BKS_UB_BU_DD,2025-07-22,upper brooks,buoy,bottom,spatt,nodularin,FALSE
096,BKS_BL_SH_01,2025-07-08,brooks,shore,NA,spatt,anatoxin,FALSE
096,BKS_BL_SH_01,2025-07-08,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
