"Plot Title: 2389100"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 2389100, SEN S/N: 2389100)","Intensity, lum/ft² (LGR S/N: 2389100, SEN S/N: 2389100)"
1,06/26/25 09:00:00 AM,47.982,304.0
2,06/26/25 09:15:00 AM,48.339,352.0
3,06/26/25 09:30:00 AM,48.339,400.0
4,06/26/25 09:45:00 AM,48.339,256.0
5,06/26/25 10:00:00 AM,47.982,432.0
6,06/26/25 10:15:00 AM,47.802,416.0
7,06/26/25 10:30:00 AM,47.802,416.0
8,06/26/25 10:45:00 AM,47.802,128.0
9,06/26/25 11:00:00 AM,47.802,272.0
10,06/26/25 11:15:00 AM,48.160,352.0
11,06/26/25 11:30:00 AM,48.339,480.0
12,06/26/25 11:45:00 AM,48.160,304.0
13,06/26/25 12:00:00 PM,47.982,352.0
14,06/26/25 12:15:00 PM,47.446,448.0
15,06/26/25 12:30:00 PM,47.266,136.0
16,06/26/25 12:45:00 PM,47.266,96.0
17,06/26/25 01:00:00 PM,46.908,168.0
18,06/26/25 01:15:00 PM,47.088,248.0
19,06/26/25 01:30:00 PM,47.266,144.0
20,06/26/25 01:45:00 PM,47.266,368.0
21,06/26/25 02:00:00 PM,47.088,304.0
22,06/26/25 02:15:00 PM,47.982,400.0
23,06/26/25 02:30:00 PM,47.446,126.0
24,06/26/25 02:45:00 PM,47.982,96.0
25,06/26/25 03:00:00 PM,47.982,144.0
26,06/26/25 03:15:00 PM,47.802,248.0
27,06/26/25 03:30:00 PM,48.517,288.0
28,06/26/25 03:45:00 PM,46.908,86.0
29,06/26/25 04:00:00 PM,47.446,136.0
30,06/26/25 04:15:00 PM,47.802,57.0
31,06/26/25 04:30:00 PM,47.088,39.0
32,06/26/25 04:45:00 PM,47.446,58.0
33,06/26/25 05:00:00 PM,48.160,104.0
34,06/26/25 05:15:00 PM,48.517,160.0
35,06/26/25 05:30:00 PM,47.982,97.0
36,06/26/25 05:45:00 PM,47.802,76.0
37,06/26/25 06:00:00 PM,48.160,79.0
38,06/26/25 06:15:00 PM,48.160,36.0
39,06/26/25 06:30:00 PM,48.160,97.0
40,06/26/25 06:45:00 PM,47.982,56.0
41,06/26/25 07:00:00 PM,47.446,48.0
42,06/26/25 07:15:00 PM,47.088,40.0
43,06/26/25 07:30:00 PM,47.088,35.0
44,06/26/25 07:45:00 PM,47.446,13.0
45,06/26/25 08:00:00 PM,47.446,14.0
46,06/26/25 08:15:00 PM,48.160,45.0
47,06/26/25 08:30:00 PM,47.446,8.0
48,06/26/25 08:45:00 PM,47.266,4.0
49,06/26/25 09:00:00 PM,47.088,1.0
50,06/26/25 09:15:00 PM,47.446,0.0
51,06/26/25 09:30:00 PM,47.446,0.0
52,06/26/25 09:45:00 PM,48.339,0.0
53,06/26/25 10:00:00 PM,47.624,0.0
54,06/26/25 10:15:00 PM,47.446,0.0
55,06/26/25 10:30:00 PM,47.624,0.0
56,06/26/25 10:45:00 PM,47.982,0.0
57,06/26/25 11:00:00 PM,47.446,0.0
58,06/26/25 11:15:00 PM,47.624,0.0
59,06/26/25 11:30:00 PM,47.624,0.0
60,06/26/25 11:45:00 PM,48.160,0.0
61,06/27/25 12:00:00 AM,47.802,0.0
62,06/27/25 12:15:00 AM,48.160,0.0
63,06/27/25 12:30:00 AM,47.266,0.0
64,06/27/25 12:45:00 AM,47.088,0.0
65,06/27/25 01:00:00 AM,47.446,0.0
66,06/27/25 01:15:00 AM,48.160,0.0
67,06/27/25 01:30:00 AM,47.982,0.0
68,06/27/25 01:45:00 AM,47.982,0.0
69,06/27/25 02:00:00 AM,47.446,0.0
70,06/27/25 02:15:00 AM,46.908,0.0
71,06/27/25 02:30:00 AM,46.728,0.0
72,06/27/25 02:45:00 AM,47.088,0.0
73,06/27/25 03:00:00 AM,47.624,0.0
74,06/27/25 03:15:00 AM,47.624,0.0
75,06/27/25 03:30:00 AM,47.266,0.0
76,06/27/25 03:45:00 AM,47.088,0.0
77,06/27/25 04:00:00 AM,47.088,0.0
78,06/27/25 04:15:00 AM,46.908,0.0
79,06/27/25 04:30:00 AM,47.446,0.0
80,06/27/25 04:45:00 AM,47.624,0.0
81,06/27/25 05:00:00 AM,47.446,0.0
82,06/27/25 05:15:00 AM,47.446,0.0
83,06/27/25 05:30:00 AM,47.446,0.0
84,06/27/25 05:45:00 AM,47.266,0.0
85,06/27/25 06:00:00 AM,47.088,2.0
86,06/27/25 06:15:00 AM,47.624,6.0
87,06/27/25 06:30:00 AM,47.802,15.0
88,06/27/25 06:45:00 AM,47.802,20.0
89,06/27/25 07:00:00 AM,47.802,22.0
90,06/27/25 07:15:00 AM,47.802,26.0
91,06/27/25 07:30:00 AM,47.624,58.0
92,06/27/25 07:45:00 AM,47.624,184.0
93,06/27/25 08:00:00 AM,47.624,224.0
94,06/27/25 08:15:00 AM,47.802,272.0
95,06/27/25 08:30:00 AM,48.160,304.0
96,06/27/25 08:45:00 AM,48.160,352.0
97,06/27/25 09:00:00 AM,47.982,384.0
98,06/27/25 09:15:00 AM,47.624,416.0
99,06/27/25 09:30:00 AM,47.624,448.0
100,06/27/25 09:45:00 AM,47.624,464.0
101,06/27/25 10:00:00 AM,47.802,496.0
102,06/27/25 10:15:00 AM,48.160,512.0
103,06/27/25 10:30:00 AM,48.160,512.0
104,06/27/25 10:45:00 AM,47.982,512.0
105,06/27/25 11:00:00 AM,48.160,480.0
106,06/27/25 11:15:00 AM,47.802,480.0
107,06/27/25 11:30:00 AM,47.802,480.0
108,06/27/25 11:45:00 AM,47.624,576.0
109,06/27/25 12:00:00 PM,47.624,704.0
110,06/27/25 12:15:00 PM,48.517,672.0
111,06/27/25 12:30:00 PM,48.695,704.0
112,06/27/25 12:45:00 PM,49.050,608.0
113,06/27/25 01:00:00 PM,48.339,608.0
114,06/27/25 01:15:00 PM,47.088,608.0
115,06/27/25 01:30:00 PM,46.908,576.0
116,06/27/25 01:45:00 PM,48.160,608.0
117,06/27/25 02:00:00 PM,49.404,125.0
118,06/27/25 02:15:00 PM,48.160,384.0
119,06/27/25 02:30:00 PM,48.339,272.0
120,06/27/25 02:45:00 PM,48.339,320.0
121,06/27/25 03:00:00 PM,48.517,336.0
122,06/27/25 03:15:00 PM,46.908,128.0
123,06/27/25 03:30:00 PM,48.160,80.0
124,06/27/25 03:45:00 PM,48.695,102.0
125,06/27/25 04:00:00 PM,48.517,256.0
126,06/27/25 04:15:00 PM,48.517,192.0
127,06/27/25 04:30:00 PM,48.517,184.0
128,06/27/25 04:45:00 PM,48.871,128.0
129,06/27/25 05:00:00 PM,48.871,68.0
130,06/27/25 05:15:00 PM,48.517,63.0
131,06/27/25 05:30:00 PM,47.982,65.0
132,06/27/25 05:45:00 PM,49.050,66.0
133,06/27/25 06:00:00 PM,48.871,42.0
134,06/27/25 06:15:00 PM,49.404,92.0
135,06/27/25 06:30:00 PM,47.982,73.0
136,06/27/25 06:45:00 PM,47.446,60.0
137,06/27/25 07:00:00 PM,47.446,47.0
138,06/27/25 07:15:00 PM,47.446,21.0
139,06/27/25 07:30:00 PM,47.802,17.0
140,06/27/25 07:45:00 PM,47.802,14.0
141,06/27/25 08:00:00 PM,47.446,13.0
142,06/27/25 08:15:00 PM,47.446,11.0
143,06/27/25 08:30:00 PM,47.982,8.0
144,06/27/25 08:45:00 PM,47.802,5.0
145,06/27/25 09:00:00 PM,47.982,1.0
146,06/27/25 09:15:00 PM,48.339,0.0
147,06/27/25 09:30:00 PM,48.517,0.0
148,06/27/25 09:45:00 PM,48.160,0.0
149,06/27/25 10:00:00 PM,47.446,0.0
150,06/27/25 10:15:00 PM,47.446,0.0
151,06/27/25 10:30:00 PM,47.982,0.0
152,06/27/25 10:45:00 PM,48.160,0.0
153,06/27/25 11:00:00 PM,48.160,0.0
154,06/27/25 11:15:00 PM,47.802,0.0
155,06/27/25 11:30:00 PM,47.446,0.0
156,06/27/25 11:45:00 PM,47.624,0.0
157,06/28/25 12:00:00 AM,47.802,0.0
158,06/28/25 12:15:00 AM,48.160,0.0
159,06/28/25 12:30:00 AM,47.802,0.0
160,06/28/25 12:45:00 AM,47.802,0.0
161,06/28/25 01:00:00 AM,47.624,0.0
162,06/28/25 01:15:00 AM,47.802,0.0
163,06/28/25 01:30:00 AM,48.160,0.0
164,06/28/25 01:45:00 AM,48.517,0.0
165,06/28/25 02:00:00 AM,48.339,0.0
166,06/28/25 02:15:00 AM,48.517,0.0
167,06/28/25 02:30:00 AM,47.982,0.0
168,06/28/25 02:45:00 AM,47.802,0.0
169,06/28/25 03:00:00 AM,47.982,0.0
170,06/28/25 03:15:00 AM,47.802,0.0
171,06/28/25 03:30:00 AM,47.982,0.0
172,06/28/25 03:45:00 AM,48.160,0.0
173,06/28/25 04:00:00 AM,47.982,0.0
174,06/28/25 04:15:00 AM,47.446,0.0
175,06/28/25 04:30:00 AM,47.446,0.0
176,06/28/25 04:45:00 AM,47.624,0.0
177,06/28/25 05:00:00 AM,47.624,0.0
178,06/28/25 05:15:00 AM,47.982,0.0
179,06/28/25 05:30:00 AM,48.160,0.0
180,06/28/25 05:45:00 AM,48.695,1.0
181,06/28/25 06:00:00 AM,48.517,4.0
182,06/28/25 06:15:00 AM,48.160,8.0
183,06/28/25 06:30:00 AM,47.982,10.0
184,06/28/25 06:45:00 AM,47.982,13.0
185,06/28/25 07:00:00 AM,48.160,15.0
186,06/28/25 07:15:00 AM,48.160,19.0
187,06/28/25 07:30:00 AM,47.982,58.0
188,06/28/25 07:45:00 AM,48.160,176.0
189,06/28/25 08:00:00 AM,47.982,144.0
190,06/28/25 08:15:00 AM,47.982,320.0
191,06/28/25 08:30:00 AM,48.339,352.0
192,06/28/25 08:45:00 AM,48.517,368.0
193,06/28/25 09:00:00 AM,48.517,432.0
194,06/28/25 09:15:00 AM,48.695,448.0
195,06/28/25 09:30:00 AM,48.517,480.0
196,06/28/25 09:45:00 AM,48.160,464.0
197,06/28/25 10:00:00 AM,47.982,512.0
198,06/28/25 10:15:00 AM,47.982,512.0
199,06/28/25 10:30:00 AM,48.160,576.0
200,06/28/25 10:45:00 AM,48.339,576.0
201,06/28/25 11:00:00 AM,47.982,576.0
202,06/28/25 11:15:00 AM,48.339,608.0
203,06/28/25 11:30:00 AM,48.871,768.0
