MiniDOT Logger Concatenated Data File
Sensor:             7450-987229
Concatenation Date: 2025Oct27 13:40:12 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1750801980,           2025-06-24 21:53:00,           2025-06-24 15:53:00,      3.520000,     16.068000,          6.682000,                    67.795980,      0.990000
                1750802580,           2025-06-24 22:03:00,           2025-06-24 16:03:00,      3.530000,     10.508000,          2.156000,                    19.329426,      0.990000
                1750803180,           2025-06-24 22:13:00,           2025-06-24 16:13:00,      3.530000,      5.337000,          0.591000,                     4.668333,      0.984000
                1750803780,           2025-06-24 22:23:00,           2025-06-24 16:23:00,      3.530000,      4.838000,          0.204000,                     1.590802,      0.980000
                1750804380,           2025-06-24 22:33:00,           2025-06-24 16:33:00,      3.530000,      4.677000,          0.089000,                     0.691133,      0.978000
                1750804980,           2025-06-24 22:43:00,           2025-06-24 16:43:00,      3.530000,      4.607000,          0.368000,                     2.852523,      0.979000
                1750805580,           2025-06-24 22:53:00,           2025-06-24 16:53:00,      3.530000,      4.577000,          0.328000,                     2.540482,      0.978000
                1750806180,           2025-06-24 23:03:00,           2025-06-24 17:03:00,      3.530000,      4.597000,          0.239000,                     1.852107,      0.978000
                1750806780,           2025-06-24 23:13:00,           2025-06-24 17:13:00,      3.530000,      4.567000,          0.180000,                     1.393804,      0.978000
                1750807380,           2025-06-24 23:23:00,           2025-06-24 17:23:00,      3.530000,      4.546000,          0.086000,                     0.665564,      0.977000
                1750807980,           2025-06-24 23:33:00,           2025-06-24 17:33:00,      3.530000,      4.557000,          0.083000,                     0.642531,      0.977000
                1750808580,           2025-06-24 23:43:00,           2025-06-24 17:43:00,      3.530000,      4.557000,          0.093000,                     0.719944,      0.977000
                1750809180,           2025-06-24 23:53:00,           2025-06-24 17:53:00,      3.530000,      4.567000,          0.139000,                     1.076326,      0.977000
                1750809780,           2025-06-25 00:03:00,           2025-06-24 18:03:00,      3.530000,      4.557000,          0.149000,                     1.153459,      0.977000
                1750810380,           2025-06-25 00:13:00,           2025-06-24 18:13:00,      3.530000,      4.567000,          0.176000,                     1.362830,      0.978000
                1750810980,           2025-06-25 00:23:00,           2025-06-24 18:23:00,      3.530000,      4.546000,          0.427000,                     3.304605,      0.980000
                1750811580,           2025-06-25 00:33:00,           2025-06-24 18:33:00,      3.530000,      4.546000,          0.214000,                     1.656172,      0.978000
                1750812180,           2025-06-25 00:43:00,           2025-06-24 18:43:00,      3.530000,      4.567000,          0.149000,                     1.153760,      0.977000
                1750812780,           2025-06-25 00:53:00,           2025-06-24 18:53:00,      3.530000,      4.597000,          0.134000,                     1.038420,      0.977000
                1750813380,           2025-06-25 01:03:00,           2025-06-24 19:03:00,      3.530000,      4.557000,          0.107000,                     0.828323,      0.977000
                1750813980,           2025-06-25 01:13:00,           2025-06-24 19:13:00,      3.520000,      4.557000,          0.100000,                     0.774134,      0.977000
                1750814580,           2025-06-25 01:23:00,           2025-06-24 19:23:00,      3.520000,      4.557000,          0.094000,                     0.727686,      0.977000
                1750815180,           2025-06-25 01:33:00,           2025-06-24 19:33:00,      3.520000,      4.577000,          0.138000,                     1.068861,      0.977000
                1750815780,           2025-06-25 01:43:00,           2025-06-24 19:43:00,      3.520000,      4.557000,          0.085000,                     0.658014,      0.977000
                1750816380,           2025-06-25 01:53:00,           2025-06-24 19:53:00,      3.520000,      4.567000,          0.065000,                     0.503318,      0.976000
                1750816980,           2025-06-25 02:03:00,           2025-06-24 20:03:00,      3.520000,      4.557000,          0.091000,                     0.704462,      0.977000
                1750817580,           2025-06-25 02:13:00,           2025-06-24 20:13:00,      3.520000,      4.557000,          0.226000,                     1.749542,      0.978000
                1750818180,           2025-06-25 02:23:00,           2025-06-24 20:23:00,      3.520000,      4.557000,          0.205000,                     1.586974,      0.978000
                1750818780,           2025-06-25 02:33:00,           2025-06-24 20:33:00,      3.520000,      4.557000,          0.197000,                     1.525044,      0.978000
                1750819380,           2025-06-25 02:43:00,           2025-06-24 20:43:00,      3.520000,      4.577000,          0.263000,                     2.037032,      0.979000
                1750819980,           2025-06-25 02:53:00,           2025-06-24 20:53:00,      3.520000,      4.557000,          0.278000,                     2.152092,      0.979000
                1750820580,           2025-06-25 03:03:00,           2025-06-24 21:03:00,      3.520000,      4.526000,          0.292000,                     2.258646,      0.979000
                1750821180,           2025-06-25 03:13:00,           2025-06-24 21:13:00,      3.520000,      4.567000,          0.270000,                     2.090706,      0.979000
                1750821780,           2025-06-25 03:23:00,           2025-06-24 21:23:00,      3.520000,      4.557000,          0.301000,                     2.330143,      0.979000
                1750822380,           2025-06-25 03:33:00,           2025-06-24 21:33:00,      3.520000,      4.546000,          0.323000,                     2.499736,      0.979000
                1750822980,           2025-06-25 03:43:00,           2025-06-24 21:43:00,      3.520000,      4.557000,          0.331000,                     2.562383,      0.979000
                1750823580,           2025-06-25 03:53:00,           2025-06-24 21:53:00,      3.520000,      4.577000,          0.313000,                     2.424301,      0.979000
                1750824180,           2025-06-25 04:03:00,           2025-06-24 22:03:00,      3.520000,      4.546000,          0.238000,                     1.841911,      0.978000
                1750824780,           2025-06-25 04:13:00,           2025-06-24 22:13:00,      3.520000,      4.546000,          0.274000,                     2.120519,      0.979000
