MiniDOT Logger Concatenated Data File
Sensor:             7450-239868
Concatenation Date: 2025Oct27 13:04:45 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1750802100,           2025-06-24 21:55:00,           2025-06-24 15:55:00,      3.540000,     14.895000,          6.955000,                    68.815705,      0.926000
                1750802700,           2025-06-24 22:05:00,           2025-06-24 16:05:00,      3.530000,     13.253000,          7.354000,                    70.189408,      0.927000
                1750803300,           2025-06-24 22:15:00,           2025-06-24 16:15:00,      3.540000,     12.602000,          8.048000,                    75.702328,      0.928000
                1750803900,           2025-06-24 22:25:00,           2025-06-24 16:25:00,      3.540000,     12.513000,          8.069000,                    75.747868,      0.928000
                1750804500,           2025-06-24 22:35:00,           2025-06-24 16:35:00,      3.540000,     12.575000,          8.074000,                    75.900747,      0.928000
                1750805100,           2025-06-24 22:45:00,           2025-06-24 16:45:00,      3.540000,     12.593000,          8.090000,                    76.081982,      0.928000
                1750805700,           2025-06-24 22:55:00,           2025-06-24 16:55:00,      3.540000,     12.566000,          8.090000,                    76.035747,      0.929000
                1750806300,           2025-06-24 23:05:00,           2025-06-24 17:05:00,      3.540000,     12.575000,          8.118000,                    76.314376,      0.929000
                1750806900,           2025-06-24 23:15:00,           2025-06-24 17:15:00,      3.540000,     12.602000,          8.088000,                    76.078583,      0.928000
                1750807500,           2025-06-24 23:25:00,           2025-06-24 17:25:00,      3.540000,     12.619000,          8.101000,                    76.230021,      0.928000
                1750808100,           2025-06-24 23:35:00,           2025-06-24 17:35:00,      3.540000,     12.646000,          8.104000,                    76.304578,      0.928000
                1750808700,           2025-06-24 23:45:00,           2025-06-24 17:45:00,      3.540000,     12.628000,          8.117000,                    76.396046,      0.928000
                1750809300,           2025-06-24 23:55:00,           2025-06-24 17:55:00,      3.540000,     12.593000,          8.127000,                    76.429947,      0.928000
                1750809900,           2025-06-25 00:05:00,           2025-06-24 18:05:00,      3.540000,     12.593000,          8.133000,                    76.486373,      0.928000
                1750810500,           2025-06-25 00:15:00,           2025-06-24 18:15:00,      3.540000,     12.531000,          8.110000,                    76.163647,      0.929000
                1750811100,           2025-06-25 00:25:00,           2025-06-24 18:25:00,      3.530000,     12.478000,          8.118000,                    76.147739,      0.928000
                1750811700,           2025-06-25 00:35:00,           2025-06-24 18:35:00,      3.530000,     12.469000,          8.126000,                    76.207307,      0.928000
                1750812300,           2025-06-25 00:45:00,           2025-06-24 18:45:00,      3.530000,     12.434000,          8.140000,                    76.278335,      0.928000
                1750812900,           2025-06-25 00:55:00,           2025-06-24 18:55:00,      3.530000,     12.496000,          8.161000,                    76.582163,      0.929000
                1750813500,           2025-06-25 01:05:00,           2025-06-24 19:05:00,      3.530000,     12.478000,          8.159000,                    76.532323,      0.929000
                1750814100,           2025-06-25 01:15:00,           2025-06-24 19:15:00,      3.530000,     12.425000,          8.178000,                    76.618857,      0.929000
                1750814700,           2025-06-25 01:25:00,           2025-06-24 19:25:00,      3.530000,     12.416000,          8.178000,                    76.603290,      0.929000
                1750815300,           2025-06-25 01:35:00,           2025-06-24 19:35:00,      3.530000,     12.398000,          8.179000,                    76.581521,      0.929000
                1750815900,           2025-06-25 01:45:00,           2025-06-24 19:45:00,      3.530000,     12.372000,          8.172000,                    76.471047,      0.929000
                1750816500,           2025-06-25 01:55:00,           2025-06-24 19:55:00,      3.530000,     12.372000,          8.157000,                    76.330682,      0.928000
                1750817100,           2025-06-25 02:05:00,           2025-06-24 20:05:00,      3.530000,     12.398000,          8.172000,                    76.515978,      0.929000
                1750817700,           2025-06-25 02:15:00,           2025-06-24 20:15:00,      3.530000,     12.354000,          8.163000,                    76.355759,      0.928000
                1750818300,           2025-06-25 02:25:00,           2025-06-24 20:25:00,      3.530000,     12.354000,          8.150000,                    76.234159,      0.928000
                1750818900,           2025-06-25 02:35:00,           2025-06-24 20:35:00,      3.530000,     12.319000,          8.157000,                    76.239277,      0.928000
                1750819500,           2025-06-25 02:45:00,           2025-06-24 20:45:00,      3.530000,     12.328000,          8.143000,                    76.123919,      0.929000
                1750820100,           2025-06-25 02:55:00,           2025-06-24 20:55:00,      3.530000,     12.283000,          8.208000,                    76.653487,      0.929000
                1750820700,           2025-06-25 03:05:00,           2025-06-24 21:05:00,      3.530000,     12.292000,          8.176000,                    76.370196,      0.929000
                1750821300,           2025-06-25 03:15:00,           2025-06-24 21:15:00,      3.530000,     12.319000,          8.156000,                    76.229931,      0.929000
                1750821900,           2025-06-25 03:25:00,           2025-06-24 21:25:00,      3.530000,     12.266000,          8.215000,                    76.689343,      0.929000
                1750822500,           2025-06-25 03:35:00,           2025-06-24 21:35:00,      3.530000,     12.248000,          8.154000,                    76.088873,      0.928000
                1750823100,           2025-06-25 03:45:00,           2025-06-24 21:45:00,      3.530000,     12.239000,          8.182000,                    76.334593,      0.928000
                1750823700,           2025-06-25 03:55:00,           2025-06-24 21:55:00,      3.530000,     12.230000,          8.129000,                    75.824666,      0.928000
                1750824300,           2025-06-25 04:05:00,           2025-06-24 22:05:00,      3.530000,     12.221000,          8.124000,                    75.762578,      0.929000
                1750824900,           2025-06-25 04:15:00,           2025-06-24 22:15:00,      3.530000,     12.203000,          8.123000,                    75.722359,      0.928000
                1750825500,           2025-06-25 04:25:00,           2025-06-24 22:25:00,      3.530000,     12.203000,          8.113000,                    75.629139,      0.928000
                1750826100,           2025-06-25 04:35:00,           2025-06-24 22:35:00,      3.530000,     12.168000,          8.113000,                    75.569151,      0.929000
                1750826700,           2025-06-25 04:45:00,           2025-06-24 22:45:00,      3.530000,     12.168000,          8.113000,                    75.569151,      0.929000
                1750827300,           2025-06-25 04:55:00,           2025-06-24 22:55:00,      3.530000,     12.150000,          8.111000,                    75.519683,      0.928000
                1750827900,           2025-06-25 05:05:00,           2025-06-24 23:05:00,      3.530000,     12.150000,          8.116000,                    75.566237,      0.929000
                1750828500,           2025-06-25 05:15:00,           2025-06-24 23:15:00,      3.530000,     12.141000,          8.102000,                    75.420484,      0.928000
                1750829100,           2025-06-25 05:25:00,           2025-06-24 23:25:00,      3.530000,     12.132000,          8.105000,                    75.433004,      0.928000
                1750829700,           2025-06-25 05:35:00,           2025-06-24 23:35:00,      3.530000,     12.124000,          8.103000,                    75.400700,      0.929000
                1750830300,           2025-06-25 05:45:00,           2025-06-24 23:45:00,      3.530000,     12.106000,          8.105000,                    75.388501,      0.928000
                1750830900,           2025-06-25 05:55:00,           2025-06-24 23:55:00,      3.530000,     12.088000,          8.113000,                    75.432075,      0.929000
                1750831500,           2025-06-25 06:05:00,           2025-06-25 00:05:00,      3.530000,     12.079000,          8.116000,                    75.444545,      0.929000
                1750832100,           2025-06-25 06:15:00,           2025-06-25 00:15:00,      3.520000,     12.079000,          8.100000,                    75.295812,      0.928000
                1750832700,           2025-06-25 06:25:00,           2025-06-25 00:25:00,      3.530000,     12.070000,          8.112000,                    75.391947,      0.929000
                1750833300,           2025-06-25 06:35:00,           2025-06-25 00:35:00,      3.530000,     12.044000,          8.119000,                    75.412437,      0.929000
                1750833900,           2025-06-25 06:45:00,           2025-06-25 00:45:00,      3.520000,     12.061000,          8.096000,                    75.227861,      0.928000
