"Plot Title: 22008793"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 22008793, SEN S/N: 22008793)","Intensity, lum/ft² (LGR S/N: 22008793, SEN S/N: 22008793)"
1,06/26/25 08:00:00 AM,52.225,512.0
2,06/26/25 08:15:00 AM,52.225,576.0
3,06/26/25 08:30:00 AM,52.225,672.0
4,06/26/25 08:45:00 AM,52.401,992.0
5,06/26/25 09:00:00 AM,52.401,896.0
6,06/26/25 09:15:00 AM,52.576,992.0
7,06/26/25 09:30:00 AM,52.576,1088.0
8,06/26/25 09:45:00 AM,52.576,1216.0
9,06/26/25 10:00:00 AM,52.401,608.0
10,06/26/25 10:15:00 AM,52.225,1152.0
11,06/26/25 10:30:00 AM,52.750,512.0
12,06/26/25 10:45:00 AM,53.274,1472.0
13,06/26/25 11:00:00 AM,53.100,1792.0
14,06/26/25 11:15:00 AM,53.100,1792.0
15,06/26/25 11:30:00 AM,53.100,1664.0
16,06/26/25 11:45:00 AM,52.225,400.0
17,06/26/25 12:00:00 PM,52.401,1920.0
18,06/26/25 12:15:00 PM,51.874,672.0
19,06/26/25 12:30:00 PM,52.401,512.0
20,06/26/25 12:45:00 PM,53.274,2048.0
21,06/26/25 01:00:00 PM,53.274,2176.0
22,06/26/25 01:15:00 PM,53.798,1984.0
23,06/26/25 01:30:00 PM,53.100,384.0
24,06/26/25 01:45:00 PM,52.401,320.0
25,06/26/25 02:00:00 PM,52.050,512.0
26,06/26/25 02:15:00 PM,52.576,1664.0
27,06/26/25 02:30:00 PM,52.750,1088.0
28,06/26/25 02:45:00 PM,52.925,272.0
29,06/26/25 03:00:00 PM,53.623,1600.0
30,06/26/25 03:15:00 PM,54.495,168.0
31,06/26/25 03:30:00 PM,54.669,106.0
32,06/26/25 03:45:00 PM,54.495,168.0
33,06/26/25 04:00:00 PM,53.623,608.0
34,06/26/25 04:15:00 PM,55.189,320.0
35,06/26/25 04:30:00 PM,55.189,576.0
36,06/26/25 04:45:00 PM,55.189,480.0
37,06/26/25 05:00:00 PM,54.322,216.0
38,06/26/25 05:15:00 PM,52.401,117.0
39,06/26/25 05:30:00 PM,53.449,184.0
40,06/26/25 05:45:00 PM,54.322,168.0
41,06/26/25 06:00:00 PM,54.495,168.0
42,06/26/25 06:15:00 PM,54.842,144.0
43,06/26/25 06:30:00 PM,55.017,105.0
44,06/26/25 06:45:00 PM,55.017,42.0
45,06/26/25 07:00:00 PM,55.017,88.0
46,06/26/25 07:15:00 PM,52.750,127.0
47,06/26/25 07:30:00 PM,52.750,28.0
48,06/26/25 07:45:00 PM,54.669,19.0
49,06/26/25 08:00:00 PM,53.973,5.0
50,06/26/25 08:15:00 PM,53.274,0.0
51,06/26/25 08:30:00 PM,52.576,0.0
52,06/26/25 08:45:00 PM,52.401,0.0
53,06/26/25 09:00:00 PM,52.401,0.0
54,06/26/25 09:15:00 PM,52.225,0.0
55,06/26/25 09:30:00 PM,52.050,0.0
56,06/26/25 09:45:00 PM,51.874,0.0
57,06/26/25 10:00:00 PM,51.874,0.0
58,06/26/25 10:15:00 PM,51.874,0.0
59,06/26/25 10:30:00 PM,52.050,0.0
60,06/26/25 10:45:00 PM,52.225,0.0
61,06/26/25 11:00:00 PM,51.874,0.0
62,06/26/25 11:15:00 PM,52.050,0.0
63,06/26/25 11:30:00 PM,52.050,0.0
64,06/26/25 11:45:00 PM,52.050,0.0
65,06/27/25 12:00:00 AM,52.050,0.0
66,06/27/25 12:15:00 AM,52.050,0.0
67,06/27/25 12:30:00 AM,52.225,0.0
68,06/27/25 12:45:00 AM,52.225,0.0
69,06/27/25 01:00:00 AM,52.225,0.0
70,06/27/25 01:15:00 AM,52.225,0.0
71,06/27/25 01:30:00 AM,52.225,0.0
72,06/27/25 01:45:00 AM,52.225,0.0
73,06/27/25 02:00:00 AM,52.225,0.0
74,06/27/25 02:15:00 AM,52.225,0.0
75,06/27/25 02:30:00 AM,52.401,0.0
76,06/27/25 02:45:00 AM,52.401,0.0
77,06/27/25 03:00:00 AM,52.401,0.0
78,06/27/25 03:15:00 AM,52.401,0.0
79,06/27/25 03:30:00 AM,52.225,0.0
80,06/27/25 03:45:00 AM,52.225,0.0
81,06/27/25 04:00:00 AM,52.225,0.0
82,06/27/25 04:15:00 AM,52.225,0.0
83,06/27/25 04:30:00 AM,52.401,0.0
84,06/27/25 04:45:00 AM,52.225,3.0
85,06/27/25 05:00:00 AM,52.401,8.0
86,06/27/25 05:15:00 AM,52.401,16.0
87,06/27/25 05:30:00 AM,52.401,32.0
88,06/27/25 05:45:00 AM,52.225,40.0
89,06/27/25 06:00:00 AM,52.225,42.0
90,06/27/25 06:15:00 AM,52.225,74.0
91,06/27/25 06:30:00 AM,52.401,160.0
92,06/27/25 06:45:00 AM,52.401,200.0
93,06/27/25 07:00:00 AM,52.401,248.0
94,06/27/25 07:15:00 AM,52.576,304.0
95,06/27/25 07:30:00 AM,52.576,368.0
96,06/27/25 07:45:00 AM,52.576,448.0
97,06/27/25 08:00:00 AM,52.576,480.0
98,06/27/25 08:15:00 AM,52.576,576.0
99,06/27/25 08:30:00 AM,52.401,704.0
100,06/27/25 08:45:00 AM,52.225,864.0
101,06/27/25 09:00:00 AM,52.225,864.0
102,06/27/25 09:15:00 AM,52.225,1088.0
103,06/27/25 09:30:00 AM,52.576,1152.0
104,06/27/25 09:45:00 AM,52.576,1152.0
105,06/27/25 10:00:00 AM,52.750,1216.0
106,06/27/25 10:15:00 AM,52.750,1472.0
107,06/27/25 10:30:00 AM,52.925,608.0
108,06/27/25 10:45:00 AM,53.274,1280.0
109,06/27/25 11:00:00 AM,53.274,1408.0
110,06/27/25 11:15:00 AM,53.100,1600.0
111,06/27/25 11:30:00 AM,53.100,1536.0
112,06/27/25 11:45:00 AM,53.449,1536.0
113,06/27/25 12:00:00 PM,54.147,1600.0
114,06/27/25 12:15:00 PM,54.495,1856.0
115,06/27/25 12:30:00 PM,55.364,1792.0
116,06/27/25 12:45:00 PM,54.669,1728.0
117,06/27/25 01:00:00 PM,55.364,1536.0
118,06/27/25 01:15:00 PM,55.189,1920.0
119,06/27/25 01:30:00 PM,53.973,248.0
120,06/27/25 01:45:00 PM,52.576,1664.0
121,06/27/25 02:00:00 PM,52.750,1536.0
122,06/27/25 02:15:00 PM,52.401,480.0
123,06/27/25 02:30:00 PM,53.274,1472.0
124,06/27/25 02:45:00 PM,53.100,320.0
125,06/27/25 03:00:00 PM,53.449,480.0
126,06/27/25 03:15:00 PM,53.274,1216.0
127,06/27/25 03:30:00 PM,53.623,1024.0
128,06/27/25 03:45:00 PM,53.623,320.0
129,06/27/25 04:00:00 PM,53.100,208.0
130,06/27/25 04:15:00 PM,52.576,448.0
131,06/27/25 04:30:00 PM,52.401,144.0
132,06/27/25 04:45:00 PM,52.401,152.0
133,06/27/25 05:00:00 PM,52.925,400.0
134,06/27/25 05:15:00 PM,53.798,480.0
135,06/27/25 05:30:00 PM,55.884,384.0
136,06/27/25 05:45:00 PM,56.230,304.0
137,06/27/25 06:00:00 PM,56.923,248.0
138,06/27/25 06:15:00 PM,57.096,200.0
139,06/27/25 06:30:00 PM,54.669,152.0
140,06/27/25 06:45:00 PM,52.925,104.0
141,06/27/25 07:00:00 PM,52.050,83.0
142,06/27/25 07:15:00 PM,51.699,37.0
143,06/27/25 07:30:00 PM,52.225,27.0
144,06/27/25 07:45:00 PM,52.401,19.0
145,06/27/25 08:00:00 PM,52.576,5.0
146,06/27/25 08:15:00 PM,52.925,0.0
147,06/27/25 08:30:00 PM,52.925,0.0
148,06/27/25 08:45:00 PM,52.925,0.0
149,06/27/25 09:00:00 PM,53.100,0.0
150,06/27/25 09:15:00 PM,53.274,0.0
151,06/27/25 09:30:00 PM,53.274,0.0
152,06/27/25 09:45:00 PM,52.750,0.0
153,06/27/25 10:00:00 PM,52.576,0.0
154,06/27/25 10:15:00 PM,53.100,0.0
155,06/27/25 10:30:00 PM,53.274,0.0
156,06/27/25 10:45:00 PM,52.925,0.0
157,06/27/25 11:00:00 PM,52.750,0.0
158,06/27/25 11:15:00 PM,52.750,0.0
159,06/27/25 11:30:00 PM,52.925,0.0
160,06/27/25 11:45:00 PM,52.925,0.0
161,06/28/25 12:00:00 AM,53.100,0.0
162,06/28/25 12:15:00 AM,53.100,0.0
163,06/28/25 12:30:00 AM,53.100,0.0
164,06/28/25 12:45:00 AM,53.100,0.0
165,06/28/25 01:00:00 AM,53.449,0.0
166,06/28/25 01:15:00 AM,53.623,0.0
167,06/28/25 01:30:00 AM,53.623,0.0
168,06/28/25 01:45:00 AM,53.623,0.0
169,06/28/25 02:00:00 AM,53.798,0.0
170,06/28/25 02:15:00 AM,53.623,0.0
171,06/28/25 02:30:00 AM,53.449,0.0
172,06/28/25 02:45:00 AM,53.449,0.0
173,06/28/25 03:00:00 AM,53.274,0.0
174,06/28/25 03:15:00 AM,53.449,0.0
175,06/28/25 03:30:00 AM,53.449,0.0
176,06/28/25 03:45:00 AM,53.623,0.0
177,06/28/25 04:00:00 AM,53.623,0.0
178,06/28/25 04:15:00 AM,53.623,0.0
179,06/28/25 04:30:00 AM,53.623,0.0
180,06/28/25 04:45:00 AM,53.623,3.0
181,06/28/25 05:00:00 AM,53.449,9.0
182,06/28/25 05:15:00 AM,53.100,16.0
183,06/28/25 05:30:00 AM,52.925,21.0
184,06/28/25 05:45:00 AM,52.401,24.0
185,06/28/25 06:00:00 AM,52.750,27.0
186,06/28/25 06:15:00 AM,52.925,49.0
187,06/28/25 06:30:00 AM,53.100,152.0
188,06/28/25 06:45:00 AM,52.925,160.0
189,06/28/25 07:00:00 AM,53.100,136.0
190,06/28/25 07:15:00 AM,53.449,288.0
191,06/28/25 07:30:00 AM,53.973,352.0
192,06/28/25 07:45:00 AM,53.798,304.0
193,06/28/25 08:00:00 AM,53.798,448.0
194,06/28/25 08:15:00 AM,53.449,512.0
195,06/28/25 08:30:00 AM,53.274,608.0
196,06/28/25 08:45:00 AM,53.274,608.0
197,06/28/25 09:00:00 AM,53.100,704.0
198,06/28/25 09:15:00 AM,53.274,672.0
199,06/28/25 09:30:00 AM,53.449,896.0
200,06/28/25 09:45:00 AM,53.798,1152.0
201,06/28/25 10:00:00 AM,54.495,1152.0
202,06/28/25 10:15:00 AM,54.842,1280.0
203,06/28/25 10:30:00 AM,55.189,1536.0
204,06/28/25 10:45:00 AM,54.842,1216.0
205,06/28/25 11:00:00 AM,54.495,1152.0
206,06/28/25 11:15:00 AM,54.322,1408.0
207,06/28/25 11:30:00 AM,54.147,992.0
208,06/28/25 11:45:00 AM,53.623,576.0
209,06/28/25 12:00:00 PM,53.973,800.0
210,06/28/25 12:15:00 PM,53.798,1024.0
211,06/28/25 12:30:00 PM,53.973,1088.0
212,06/28/25 12:45:00 PM,54.495,1280.0
213,06/28/25 01:00:00 PM,54.669,2048.0
214,06/28/25 01:15:00 PM,54.669,2048.0
215,06/28/25 01:30:00 PM,55.017,1344.0
216,06/28/25 01:45:00 PM,55.189,1792.0
217,06/28/25 02:00:00 PM,54.842,2176.0
218,06/28/25 02:15:00 PM,54.669,1664.0
219,06/28/25 02:30:00 PM,54.669,1536.0
220,06/28/25 02:45:00 PM,53.973,1280.0
221,06/28/25 03:00:00 PM,54.669,1536.0
222,06/28/25 03:15:00 PM,54.322,1152.0
223,06/28/25 03:30:00 PM,54.495,1472.0
224,06/28/25 03:45:00 PM,54.147,272.0
225,06/28/25 04:00:00 PM,54.322,1088.0
226,06/28/25 04:15:00 PM,53.973,608.0
227,06/28/25 04:30:00 PM,53.973,704.0
228,06/28/25 04:45:00 PM,54.322,192.0
229,06/28/25 05:00:00 PM,54.147,448.0
230,06/28/25 05:15:00 PM,53.973,480.0
231,06/28/25 05:30:00 PM,53.973,336.0
232,06/28/25 05:45:00 PM,53.623,51.0
233,06/28/25 06:00:00 PM,53.973,53.0
234,06/28/25 06:15:00 PM,54.322,83.0
235,06/28/25 06:30:00 PM,54.322,176.0
236,06/28/25 06:45:00 PM,54.147,34.0
237,06/28/25 07:00:00 PM,54.322,33.0
238,06/28/25 07:15:00 PM,54.322,24.0
239,06/28/25 07:30:00 PM,54.147,25.0
240,06/28/25 07:45:00 PM,54.147,16.0
241,06/28/25 08:00:00 PM,54.147,5.0
242,06/28/25 08:15:00 PM,54.147,1.0
243,06/28/25 08:30:00 PM,53.973,0.0
244,06/28/25 08:45:00 PM,54.147,0.0
245,06/28/25 09:00:00 PM,54.322,0.0
246,06/28/25 09:15:00 PM,54.669,0.0
247,06/28/25 09:30:00 PM,54.669,0.0
248,06/28/25 09:45:00 PM,54.842,0.0
249,06/28/25 10:00:00 PM,54.842,0.0
250,06/28/25 10:15:00 PM,55.017,0.0
251,06/28/25 10:30:00 PM,54.669,0.0
252,06/28/25 10:45:00 PM,54.669,0.0
253,06/28/25 11:00:00 PM,54.669,0.0
254,06/28/25 11:15:00 PM,54.322,0.0
255,06/28/25 11:30:00 PM,54.147,0.0
256,06/28/25 11:45:00 PM,53.973,0.0
257,06/29/25 12:00:00 AM,54.147,0.0
258,06/29/25 12:15:00 AM,54.147,0.0
259,06/29/25 12:30:00 AM,54.147,0.0
260,06/29/25 12:45:00 AM,54.322,0.0
261,06/29/25 01:00:00 AM,54.322,0.0
262,06/29/25 01:15:00 AM,54.322,0.0
263,06/29/25 01:30:00 AM,54.147,0.0
264,06/29/25 01:45:00 AM,53.973,0.0
265,06/29/25 02:00:00 AM,53.798,0.0
266,06/29/25 02:15:00 AM,53.798,0.0
267,06/29/25 02:30:00 AM,53.798,0.0
268,06/29/25 02:45:00 AM,53.798,0.0
269,06/29/25 03:00:00 AM,53.798,0.0
270,06/29/25 03:15:00 AM,53.973,0.0
271,06/29/25 03:30:00 AM,53.798,0.0
272,06/29/25 03:45:00 AM,53.798,0.0
273,06/29/25 04:00:00 AM,53.798,0.0
274,06/29/25 04:15:00 AM,53.798,0.0
275,06/29/25 04:30:00 AM,53.798,0.0
