MiniDOT Logger Concatenated Data File
Sensor:             7450-883563
Concatenation Date: 2025Oct27 13:43:53 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1750782060,           2025-06-24 16:21:00,           2025-06-24 10:21:00,      3.530000,     15.203000,          7.017000,                    69.891925,      0.951000
                1750782660,           2025-06-24 16:31:00,           2025-06-24 10:31:00,      3.530000,     15.913000,          6.972000,                    70.505996,      0.950000
                1750783260,           2025-06-24 16:41:00,           2025-06-24 10:41:00,      3.530000,     14.125000,          7.228000,                    70.328053,      0.951000
                1750783860,           2025-06-24 16:51:00,           2025-06-24 10:51:00,      3.530000,     13.463000,          7.255000,                    69.568222,      0.952000
                1750784460,           2025-06-24 17:01:00,           2025-06-24 11:01:00,      3.530000,     13.612000,          7.149000,                    68.778302,      0.952000
                1750785060,           2025-06-24 17:11:00,           2025-06-24 11:11:00,      3.520000,     21.057000,          6.464000,                    72.591249,      0.954000
                1750785660,           2025-06-24 17:21:00,           2025-06-24 11:21:00,      3.510000,     27.369000,          6.020000,                    76.051647,      0.953000
                1750786260,           2025-06-24 17:31:00,           2025-06-24 11:31:00,      3.500000,     31.624000,          5.688000,                    77.370636,      0.951000
                1750786860,           2025-06-24 17:41:00,           2025-06-24 11:41:00,      3.510000,     27.327000,          5.814000,                    73.394197,      0.949000
                1750787460,           2025-06-24 17:51:00,           2025-06-24 11:51:00,      3.520000,     23.589000,          6.000000,                    70.731095,      0.947000
                1750788060,           2025-06-24 18:01:00,           2025-06-24 12:01:00,      3.530000,     13.385000,          7.375000,                    70.596641,      0.947000
                1750788660,           2025-06-24 18:11:00,           2025-06-24 12:11:00,      3.530000,     11.430000,          7.447000,                    68.206861,      0.951000
                1750789260,           2025-06-24 18:21:00,           2025-06-24 12:21:00,      3.530000,     11.170000,          7.824000,                    71.231984,      0.953000
                1750789860,           2025-06-24 18:31:00,           2025-06-24 12:31:00,      3.530000,     11.179000,          7.945000,                    72.348632,      0.954000
                1750790460,           2025-06-24 18:41:00,           2025-06-24 12:41:00,      3.530000,     11.170000,          7.969000,                    72.552107,      0.954000
                1750791060,           2025-06-24 18:51:00,           2025-06-24 12:51:00,      3.530000,     11.215000,          7.998000,                    72.891779,      0.955000
                1750791660,           2025-06-24 19:01:00,           2025-06-24 13:01:00,      3.530000,     11.242000,          7.987000,                    72.836863,      0.954000
                1750792260,           2025-06-24 19:11:00,           2025-06-24 13:11:00,      3.530000,     11.206000,          7.996000,                    72.858424,      0.954000
