"Plot Title: Brooks Weather Station"
"#","Date Time, GMT-07:00","Pressure, in Hg (LGR S/N: 22313858, SEN S/N: 22279472)","PAR, µmol/m²/s (LGR S/N: 22313858, SEN S/N: 22300749)","Temp, °F (LGR S/N: 22313858, SEN S/N: 22305821)","RH, % (LGR S/N: 22313858, SEN S/N: 22305821)","Wind Speed, mph (LGR S/N: 22313858, SEN S/N: 22309738)","Gust Speed, mph (LGR S/N: 22313858, SEN S/N: 22309738)","Wind Direction, ø (LGR S/N: 22313858, SEN S/N: 22309738)"
1,06/29/25 10:18:31 AM,21.6942,1796.2,64.377,31.678,2.24,8.97,320.1
2,06/29/25 10:28:31 AM,21.6913,1811.2,63.295,34.508,3.74,10.47,331.3
3,06/29/25 10:38:31 AM,21.6913,1841.2,63.914,29.526,3.74,8.21,306.1
4,06/29/25 10:48:31 AM,21.6883,1883.7,64.261,34.992,3.00,7.47,290.6
5,06/29/25 10:58:31 AM,21.6913,1901.2,63.952,33.611,4.47,8.97,271.0
6,06/29/25 11:08:31 AM,21.6913,1923.7,63.797,36.603,3.74,8.97,283.6
7,06/29/25 11:18:31 AM,21.6883,1946.2,64.414,35.995,2.24,5.97,303.2
8,06/29/25 11:28:31 AM,21.6883,1973.7,64.029,32.932,3.00,9.71,308.9
9,06/29/25 11:38:31 AM,21.6883,1988.7,63.797,37.983,4.47,10.47,317.3
10,06/29/25 11:48:31 AM,21.6853,2006.2,63.759,33.931,3.74,11.21,331.3
11,06/29/25 11:58:31 AM,21.6883,2026.2,64.454,29.847,3.00,8.21,315.9
12,06/29/25 12:08:31 PM,21.6883,2028.7,64.762,29.490,5.23,14.20,314.5
13,06/29/25 12:18:31 PM,21.6853,2038.7,63.837,33.588,4.47,8.97,321.5
14,06/29/25 12:28:31 PM,21.6883,2043.7,63.952,26.841,4.47,12.71,328.5
15,06/29/25 12:38:31 PM,21.6883,2043.7,64.107,28.048,3.00,7.47,325.7
16,06/29/25 12:48:31 PM,21.6883,2041.2,63.450,29.000,5.97,14.20,341.2
17,06/29/25 12:58:31 PM,21.6824,2041.2,64.029,27.704,4.47,8.97,328.5
18,06/29/25 01:08:31 PM,21.6853,2036.2,64.762,32.891,3.00,7.47,331.3
19,06/29/25 01:18:31 PM,21.6824,2011.2,63.837,30.553,5.23,12.71,308.9
20,06/29/25 01:28:31 PM,21.6794,2003.7,63.759,28.698,3.74,9.71,329.9
21,06/29/25 01:38:31 PM,21.6765,1986.2,65.766,29.407,3.74,10.47,297.6
22,06/29/25 01:48:31 PM,21.6824,1968.7,63.219,26.450,5.97,14.94,327.1
23,06/29/25 01:58:31 PM,21.6824,1948.7,64.377,28.817,5.97,11.21,334.1
24,06/29/25 02:08:31 PM,21.6824,1923.7,64.531,26.162,5.97,14.94,328.5
25,06/29/25 02:18:31 PM,21.6794,1896.2,64.377,25.797,7.47,16.44,335.5
26,06/29/25 02:28:31 PM,21.6794,1858.7,63.797,29.554,6.73,12.71,332.7
27,06/29/25 02:38:31 PM,21.6735,1831.2,65.381,25.562,4.47,11.21,314.5
28,06/29/25 02:48:31 PM,21.6706,1796.2,64.879,28.217,5.97,17.18,342.6
29,06/29/25 02:58:31 PM,21.6735,1756.2,65.071,30.515,5.23,10.47,335.5
30,06/29/25 03:08:31 PM,21.6706,1716.2,64.531,30.195,6.73,14.20,325.7
31,06/29/25 03:18:31 PM,21.6765,1676.2,66.616,29.773,3.74,11.21,310.3
32,06/29/25 03:28:31 PM,21.6735,1628.7,64.724,30.311,5.97,16.44,318.7
33,06/29/25 03:38:31 PM,21.6735,1583.7,66.036,25.179,5.97,11.95,308.9
34,06/29/25 03:48:31 PM,21.6735,1531.2,66.963,22.652,4.47,10.47,271.0
35,06/29/25 03:58:31 PM,21.6735,1481.2,64.569,26.496,5.97,11.95,327.1
36,06/29/25 04:08:31 PM,21.6765,1428.7,65.534,26.441,3.74,11.21,320.1
37,06/29/25 04:18:31 PM,21.6647,1376.2,66.114,25.742,5.23,10.47,271.0
38,06/29/25 04:28:31 PM,21.6765,1321.2,66.306,26.638,4.47,14.20,278.0
39,06/29/25 04:38:31 PM,21.6765,1258.7,65.998,22.179,4.47,14.20,292.0
40,06/29/25 04:48:31 PM,21.6735,1191.2,65.806,25.385,3.74,12.71,300.4
41,06/29/25 04:58:31 PM,21.6765,1133.7,66.538,26.227,3.74,8.97,329.9
42,06/29/25 05:08:31 PM,21.6765,1068.7,65.959,26.781,5.23,14.20,279.4
43,06/29/25 05:18:31 PM,21.6824,998.7,65.689,27.834,3.74,8.97,297.6
44,06/29/25 05:28:31 PM,21.6853,933.7,65.881,28.254,3.74,9.71,280.8
45,06/29/25 05:38:31 PM,21.6853,866.2,65.534,27.385,3.00,12.71,308.9
46,06/29/25 05:48:31 PM,21.6883,803.7,65.304,29.377,3.00,7.47,290.6
47,06/29/25 05:58:31 PM,21.6883,728.7,64.839,26.574,3.00,9.71,287.8
48,06/29/25 06:08:31 PM,21.6913,661.2,64.801,25.829,3.00,6.73,282.2
49,06/29/25 06:18:31 PM,21.6942,591.2,64.724,27.225,2.24,5.23,292.0
50,06/29/25 06:28:31 PM,21.6942,521.2,63.682,27.150,3.00,5.97,321.5
51,06/29/25 06:38:31 PM,21.7031,453.7,63.720,27.779,2.24,5.97,290.6
52,06/29/25 06:48:31 PM,21.7090,96.2,62.987,29.480,2.24,5.23,297.6
53,06/29/25 06:58:31 PM,21.7060,316.2,61.790,33.916,2.24,9.71,321.5
54,06/29/25 07:08:31 PM,21.7237,78.7,59.783,33.698,1.50,6.73,286.4
55,06/29/25 07:18:31 PM,21.7267,68.7,57.042,37.511,2.24,8.21,254.1
56,06/29/25 07:28:31 PM,21.7296,56.2,55.035,43.980,0.74,3.00,307.5
57,06/29/25 07:38:31 PM,21.7326,41.2,53.760,43.984,0.74,2.24,255.5
58,06/29/25 07:48:31 PM,21.7267,28.7,52.216,47.341,0.00,2.24,279.4
59,06/29/25 07:58:31 PM,21.7296,16.2,51.753,49.551,0.74,3.00,271.0
60,06/29/25 08:08:31 PM,21.7296,6.2,52.254,47.268,0.74,2.24,259.7
61,06/29/25 08:18:31 PM,21.7326,1.2,53.875,45.925,1.50,4.47,273.8
62,06/29/25 08:28:31 PM,21.7355,1.2,51.598,60.665,0.74,3.00,307.5
63,06/29/25 08:38:31 PM,21.7355,1.2,50.169,57.392,0.74,5.23,289.2
64,06/29/25 08:48:31 PM,21.7415,1.2,48.317,64.027,0.74,3.74,279.4
65,06/29/25 08:58:31 PM,21.7415,1.2,47.970,65.803,0.74,3.00,279.4
66,06/29/25 09:08:31 PM,21.7474,1.2,47.737,70.704,0.74,3.00,18.3
67,06/29/25 09:18:31 PM,21.7444,1.2,45.883,66.613,0.00,1.50,59.0
68,06/29/25 09:28:31 PM,21.7474,1.2,44.611,69.470,0.00,0.00,59.0
69,06/29/25 09:38:31 PM,21.7474,1.2,43.722,71.157,0.00,1.50,91.3
70,06/29/25 09:48:31 PM,21.7503,1.2,42.796,68.779,0.00,0.74,113.7
71,06/29/25 09:58:31 PM,21.7474,1.2,42.642,74.595,0.00,0.74,113.7
72,06/29/25 10:08:31 PM,21.7503,1.2,41.599,74.920,0.00,0.00,113.7
73,06/29/25 10:18:31 PM,21.7474,1.2,42.139,66.508,0.00,0.74,113.7
74,06/29/25 10:28:31 PM,21.7503,1.2,40.595,71.429,0.00,3.00,214.8
75,06/29/25 10:38:31 PM,21.7533,1.2,42.102,70.523,0.00,2.24,244.3
76,06/29/25 10:48:31 PM,21.7533,1.2,40.170,71.954,0.00,2.24,224.6
