lake,taxon,total_cyano_cells,percent_of_cyano
Brooks Lake,Aphanizomenon,2522913973,90.03650777628009
Brooks Lake,Aphanocapsa,234163035,8.356694737642902
Brooks Lake,Dolichospermum,44923783,1.6032177794036182
Brooks Lake,Pseudanabaena,100307,0.0035797066733814185
Lower Jade Lake,Dolichospermum,20659081,76.14240058404482
Lower Jade Lake,Pseudanabaena,5156701,19.00585961370424
Lower Jade Lake,Spirulina,814996,3.0038002129133523
Lower Jade Lake,Aphanocapsa,407498,1.5019001064566762
Lower Jade Lake,Aphanizomenon,93888,0.3460394828809084
Rainbow Lake,Dolichospermum,480832443,78.58734908252984
Rainbow Lake,Pseudanabaena,98176505,16.04598729237107
Rainbow Lake,Aphanocapsa,20466433,3.345037836070493
Rainbow Lake,Aphanizomenon,8382815,1.3700889328286598
Rainbow Lake,Spirulina,3986393,0.6515368561999327
Upper Brooks Lake,Dolichospermum,428914446,92.10360303537396
Upper Brooks Lake,Aphanizomenon,23627237,5.073631065041582
Upper Brooks Lake,Pseudanabaena,9178582,1.9709769182165267
Upper Brooks Lake,Aphanocapsa,3966670,0.8517889813679227
